exp_id,(match_percentage) for 1/30/2025,(match_percentage) for 2/18/2025,(match_percentage) for 2/5/2025,UniqueConcatenate(Protocol)
192438,90,88,96,Affinity_Wilmington
192685,88,76,96,Affinity_Wilmington
192687,84,75,94,Affinity_Wilmington
192796,93,90,96,Affinity_Wilmington
192860,90,82,91,Affinity_Wilmington
192861,91,86,95,Affinity_Wilmington
192862,91,86,95,Affinity_Wilmington
192951,69,47,95,Affinity_Wilmington
192952,79,49,95,Affinity_Wilmington
192961,86,81,80,Affinity_Wilmington
193011,87,73,94,Affinity_Wilmington
193086,84,73,96,Affinity_Wilmington
193089,84,62,96,Affinity_Wilmington
193100,88,56,94,Affinity_Wilmington
193101,89,85,96,Affinity_Wilmington
193102,92,89,96,Affinity_Wilmington
193103,90,87,96,Affinity_Wilmington
193115,90,82,96,Affinity_Wilmington
193176,91,89,96,Affinity_Wilmington
193197,82,72,95,Affinity_Wilmington
193330,90,77,88,Affinity_Wilmington
193372,76,58,96,Affinity_Wilmington
193379,86,80,95,Affinity_Wilmington
193393,70,65,93,Affinity_Wilmington
193403,87,78,95,Affinity_Wilmington
193420,62,44,94,Affinity_Wilmington
193421,62,45,93,Affinity_Wilmington
193425,73,51,96,Affinity_Wilmington
193433,71,56,92,Affinity_Wilmington
193477,79,75,82,Affinity_Wilmington
193532,85,69,78,Affinity_Wilmington
193533,83,71,96,Affinity_Wilmington
193546,85,71,81,Affinity_Wilmington
193631,88,71,96,Affinity_Wilmington
193654,90,86,95,Affinity_Wilmington
193662,80,70,96,Affinity_Wilmington
193695,89,76,96,Affinity_Wilmington
193722,87,71,96,Affinity_Wilmington
193753,91,87,89,Affinity_Wilmington
193757,85,78,95,Affinity_Wilmington
193853,86,72,96,Affinity_Wilmington
193869,85,72,75,Affinity_Wilmington
193887,84,76,96,Affinity_Wilmington
193892,90,88,96,Affinity_Wilmington
193942,80,42,96,Affinity_Wilmington
193948,72,71,96,Affinity_Wilmington
193954,81,67,96,Affinity_Wilmington
193985,95,84,90,Affinity_Wilmington
194002,95,88,90,Affinity_Wilmington
194016,89,81,91,Affinity_Wilmington
194027,80,64,92,Affinity_Wilmington
194039,68,60,90,Affinity_Wilmington
194041,74,70,93,Affinity_Wilmington
194088,89,83,96,Affinity_Wilmington
194159,87,73,96,Affinity_Wilmington
194167,82,43,96,Affinity_Wilmington
194168,93,85,96,Affinity_Wilmington
194325,66,53,96,Affinity_Wilmington
194330,84,71,91,Affinity_Wilmington
194347,89,77,96,Affinity_Wilmington
194398,85,73,96,Affinity_Wilmington
194407,93,29,95,Affinity_Wilmington
194450,89,37,88,Affinity_Wilmington
194452,68,60,92,Affinity_Wilmington
194453,88,40,82,Affinity_Wilmington
194461,84,81,96,Affinity_Wilmington
194465,89,85,96,Affinity_Wilmington
194472,81,59,87,Affinity_Wilmington
194474,77,65,96,Affinity_Wilmington
194476,74,70,92,Affinity_Wilmington
194508,76,50,94,Affinity_Wilmington
194509,71,54,96,Affinity_Wilmington
194529,89,16,94,Affinity_Wilmington
194537,81,56,88,Affinity_Wilmington
194592,93,87,96,Affinity_Wilmington
194617,92,89,96,Affinity_Wilmington
194636,81,68,96,Affinity_Wilmington
194675,91,73,96,Affinity_Wilmington
194692,86,68,96,Affinity_Wilmington
194698,71,49,96,Affinity_Wilmington
194703,85,79,95,Affinity_Wilmington
194827,90,87,96,Affinity_Wilmington
194851,89,72,87,Affinity_Wilmington
194857,83,79,94,Affinity_Wilmington
